edge_count,tab_switchcount,shift_count,alt_count,ctrl_count,meta_count,copy_count,paste_count,resize_count,char_key,backspace_key,blur_count,blur_duration,tab_count,MCQ,red_edge,para_edge,sus_keys,ss_count,meta_key,tab_switch,clip_count,sus_resize,sus_blur,char_sus,risk
0,0,0,0,3,0,4,0,0,25,0,0,0,2,0,0,0,0.18,0,0,0,0.4,0,0,0,0.58
12,0,0,0,0,5,0,3,0,17,0,5,7,0,0,0.024,0.012,0,0,0.5,0,0.3,0,0.313049517,0,1.125049517
10,0,0,0,0,0,0,0,13,0,27,3,5,0,0,0.02,0.01,0,0,0,0,0,0.442,0.173205081,0,0.625205081
0,2,4,0,5,0,0,0,0,23,15,0,9,4,0,0,0,0.34,0,0,0.166666667,0,0,0,0,0.506666667
10,0,0,0,0,0,1,5,0,19,25,0,6,0,0,0.02,0.01,0,0,0,0,0.6,0,0,0,0.61
0,0,0,3,7,3,0,0,0,25,0,0,0,0,0,0,0,0.2,0,0.3,0,0,0,0,0,0.5
0,0,0,2,3,0,2,0,10,23,0,1,0,0,0,0,0,0.1,0,0,0,0.2,0.333333333,0,0,0.633333333
0,0,6,0,0,0,3,0,10,18,21,1,0,0,0,0,0,0,0,0,0,0.3,0.333333333,0,0,0.633333333
0,2,0,0,3,0,0,4,10,0,21,3,0,0,0,0,0,0.06,0,0,0.166666667,0.4,0.333333333,0,0,0.96
7,2,7,0,0,1,0,0,0,0,0,1,5,0,0,0.014,0.007,0,2,0.1,0.169,0.2,0,0.1,0,0.576
0,0,0,0,5,5,3,0,11,0,24,0,6,0,0,0,0,0.1,0,0.5,0,0.3,0.366666667,0,0,1.266666667
0,0,0,0,0,3,0,1,12,0,17,1,0,0,0,0,0,0,0,0.3,0,0.1,0.4,0,0,0.8
7,0,0,0,0,1,0,0,11,25,17,2,0,0,0,0.014,0.007,0,0,0.1,0,0,0.3718,0,0,0.4788
15,2,0,0,0,0,0,5,0,0,26,0,6,0,0,0.03,0.015,0,0,0,0.171666667,0.5,0,0,0,0.686666667
0,5,0,4,0,0,3,0,15,26,0,5,0,0,0,0,0,0.08,0,0,0.416666667,0.3,0.5,0,0,1.296666667
14,0,0,1,0,0,0,0,11,20,23,0,0,0,0,0.028,0.014,0.02,0,0,0,0,0.376933333,0,0,0.410933333
7,2,0,0,0,3,1,0,0,0,0,5,0,0,0,0.014,0.007,0,0,0.3,0.169,0.1,0,0,0,0.576
16,0,0,3,6,0,0,0,7,0,0,0,7,0,0,0.032,0.016,0.18,0,0,0,0,0.2408,0,0,0.4368
16,0,1,0,2,5,0,0,0,23,26,0,0,0,0,0.032,0.016,0.04,2,0.5,0,0.2,0,0,0,0.756
0,5,0,1,0,5,1,0,16,0,0,0,0,0,0,0,0,0.02,0,0.5,0.416666667,0.1,0.533333333,0,0,1.57
